Name,Price,Rate,property,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony,city,location,Rate_per_sqft,bedroom,carpet_area_sqft,total_area,Area_Unit,Area,Property_Type,carpet_area(in sqft),Z_Score,total_area(sqft)
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",19500000,14856.0,,Ready to Move,1 out of 4,Resale,East,Main Road,Freehold,0,3.0,4.0,Gurgaon, Shapoorji Pallonji Joyville Gurugram,14856.0,3,,1312.6,,,Flat,,0.5264554484573937,1312.6
"3 BHK Flat for Sale in M3M Merlin, Sector 67, Gurgaon",35000000,5128.0,,Ready to Move,9 out of 38,Resale,East,"Garden/Park, Pool",Freehold,0,4.0,1.0,Gurgaon, M3M Merlin,5128.0,3,,6825.27,,,Flat,,-0.7416371284654382,6825.27
"3 BHK Flat for Sale in Aashirwad Homes, Neharpar, Faridabad",10500000,7000.0,Aashirwad Home Developers,Ready to Move,3 out of 4,New Property,North,Garden/Park,Freehold,2,3.0,2.0,Faridabad, Aashirwad Homes,7000.0,3,1500.0,1500.0,sqft,1500.0,Flat,1500.0,-0.042683505860073405,1500.0
"3 BHK Flat for Sale in M3M Woodshire, Sector 107, Gurgaon",13000000,6691.0,Dwarka Expressway Homes,Ready to Move,8 out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,1,3.0,4.0,Gurgaon, M3M Woodshire,6691.0,3,1720.0,1942.91,sqft,1720.0,Flat,1720.0,-0.5378924021362455,1942.91
"4 BHK Flat for Sale in RWA Sushant lok, Sushant Lok-I, Sector 43, Gurgaon",27500000,8488.0,Premium Estates,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,3,4.0,2.0,Gurgaon, RWA Sushant lok,8488.0,4,2500.0,3239.87,sqft,2500.0,Flat,2500.0,-0.30364462656774954,3239.87
"4 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",55000000,9773.0,Ruchika,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,2,3.0,3.0,Gurgaon, Sushant Lok 1 Block C,9773.0,4,502.0,5627.75,sqyrd,502.0,Flat,4518.0,-0.13613856557413945,5627.75
"4 BHK Flat for Sale in Himachal Dauladhar, Dwarka Sector 5, New Delhi",21500000,9737.0,Treveni Properties,Ready to Move,4 out of 7,Resale,East,Main Road,Freehold,1,3.0,2.0,Delhi, Himachal Dauladhar,9737.0,4,1800.0,2208.07,sqft,1800.0,Flat,1800.0,-0.13501563774033676,2208.07
"3 BHK Flat for Sale in Sector 63A, Gurgaon",18500000,25926.0,Ambawata Properties,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1,3.0,2.0,Gurgaon, Sector 63A,25926.0,3,1750.0,713.57,sqft,1750.0,Flat,1750.0,1.9694843163167428,713.57
"4 BHK Flat for Sale in Executive Floor, Greater Kailash, New Delhi",70000000,10706.0,Silver Homz,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,1,4.0,2.0,Delhi, Executive Floor,10706.0,4,2300.0,6538.39,sqft,2300.0,Flat,2300.0,-0.09710996077794998,6538.39
"3 BHK Flat for Sale in IES Officers Apartment, Dwarka Sector 4, New Delhi",18200000,10900.0,Bajaj Properties,Ready to Move,4 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,1,2.0,2.0,Delhi, IES Officers Apartment,10900.0,3,1600.0,1669.72,sqft,1600.0,Flat,1600.0,-0.08952100171633694,1669.72
"3 BHK Flat for Sale in Hind Apartment, Dwarka Sector 5, New Delhi",21800000,7344.0,A One Realtors,Ready to Move,8 out of 8,Resale,North - East,"Garden/Park, Main Road",Freehold,1,3.0,3.0,Delhi, Hind Apartment,7344.0,3,1800.0,2968.41,sqft,1800.0,Flat,1800.0,-0.2286258389487904,2968.41
"4 BHK Flat for Sale in Vatika Sovereign Next, Sector 82A, Gurgaon",23500000,11250.0,Bhoomi Bazar,Ready to Move,10 out of 22,New Property,East,"Garden/Park, Pool",Freehold,4,4.0,3.0,Gurgaon, Vatika Sovereign Next,11250.0,4,2350.0,2088.89,sqft,2350.0,Flat,2350.0,0.05639563838505285,2088.89
"4 BHK Flat for Sale in The Vimal Apartment, Dwarka Sector 12, New Delhi",18000000,20202.0,Sachdeva Associates,Ready to Move,1 out of 8,Resale,East,"Garden/Park, Main Road",Freehold,2,3.0,3.0,Delhi, The Vimal Apartment,20202.0,4,1550.0,891.0,sqft,1550.0,Flat,1550.0,0.27435784978430483,891.0
